date,BGN/1/ბულგარული ლევი,DKK/10/დანიური კრონი,EUR/1/ევრო,GBP/1/დიდი ბრიტანეთის გირვანქა სტერლინგი,ISK/100/ისლანდიური კრონი,RSD/100/სერბიული დინარი,NOK/10/ნორვეგიული კრონი,PLN/10/პოლონური ზლოტი,"ROL/10,000/რუმინული ლეი",RON/10/რუმინული ლეი,HUF/100/უნგრული ფორინტი,SEK/10/შვედური კრონი,CHF/1/შვეიცარიული ფრანკი ,CZK/10/ჩეხური კრონა,USD/1/აშშ დოლარი,CAD/1/კანადური დოლარი,AUD/1/ავსტრალიური დოლარი,EGP/10/ეგვიპტური გირვანქა,"TRL/1,000,000/თურქული ლირა",TRY/1/თურქული ლირა,JPY/100/იაპონური იენი,AED/10/არაბეთის გაერთიანებული საამიროების დირჰამი,"IRR/10,000/ირანული რიალი",ILS/10/ისრაელის შეკელი,SGD/1/სინგაპურული დოლარი,KWD/1/ქუვეითური დინარი,CNY/10/ჩინური იუანი,HKD/10/ჰონკონგური დოლარი,INR/100/ინდური რუპია,NZD/1/ახალზელანდიური დოლარი,RUB/100/რუსული რუბლი,"AZM/1,000/აზერბაიჯანული მანათი",AZN/1/აზერბაიჯანული მანათი,"BYR/10,000/ბელარუსული რუბლი",BYN/1/ბელარუსული რუბლი,EEK/10/ესტონური კრონა,"TMM/1,000/თურქმენული მანათი",TMT/10/თურქმენული მანათი,LVL/1/ლატვიური ლატი,LTL/10/ლიტვური ლიტი,MDL/10/მოლდოვური ლეი,"AMD/1,000/სომხური დრამი",TJS/10/ტაჯიკური სომონი,"UZS/1,000/უზბეკური სუმი",UAH/10/უკრაინული გრივნა,KZT/100/ყაზახური ტენგე,KGS/100/ყირგიზული სომი,ZAR/10/სამხრეთ აფრიკული რანდი,BRL/1/ბრაზილიური რიალი,QAR/10/კატარული რიალი,"KRW/1,000/სამხრეთ კორეული ვონი",CYP/1/კვიპროსული გირვანქა სტერლინგი,ATS/10/ავსტრიული შილინგი,BEF/100/ბელგიური ფრანკი,DEM/1/გერმანული მარკა,NLG/10/ჰოლანდიური გულდენი,"ITL/1,000/იტალიური ლირა",FIM/10/ფინური მარკა,FRF/10/ფრანგული ფრანკი,ESP/100/ესპანური პესეტა,GRD/100/ბერძნული დრაჰმა,IEP/1/ირლანდიური ფუნტი,LUF/100/ლუქსემბურგული ფრანკი,"PTE/1,000/პორტუგალიური ესკუდო"
Sun Sep 23 2007 00:00:00 GMT+0400 (Georgia Standard Time),1.1971,3.1410,2.3404,3.3398,2.6430,2.9499,3.0110,6.2170,,6.8540,0.9344,2.5440,1.4183,0.8510,1.6620,1.6660,1.4416,2.9680,,1.3449,1.4460,4.5270,1.7860,4.1070,1.1048,5.9156,2.2150,2.1350,4.1700,1.2377,6.6300,1.9518,,7.7370,,1.4967,0.3196,,3.3042,6.7509,1.4415,4.9040,4.8270,1.3042,3.3154,1.3680,4.4980,,,,,4.0106,,,,,,,,,,,,
Mon Sep 24 2007 00:00:00 GMT+0400 (Georgia Standard Time),1.1971,3.1410,2.3404,3.3398,2.6430,2.9499,3.0110,6.2170,,6.8540,0.9344,2.5440,1.4183,0.8510,1.6620,1.6660,1.4416,2.9680,,1.3449,1.4460,4.5270,1.7860,4.1070,1.1048,5.9156,2.2150,2.1350,4.1700,1.2377,6.6300,1.9518,,7.7370,,1.4967,0.3196,,3.3042,6.7509,1.4415,4.9040,4.8270,1.3042,3.3154,1.3680,4.4980,,,,,4.0106,,,,,,,,,,,,
Tue Sep 25 2007 00:00:00 GMT+0400 (Georgia Standard Time),1.1984,3.1460,2.3435,3.3622,2.6670,2.9993,3.0150,6.2400,,6.9280,0.9380,2.5510,1.4182,0.8520,1.6610,1.6598,1.4379,2.9670,,1.3551,1.4450,4.5240,1.7850,4.1190,1.1076,5.9324,2.2130,2.1360,4.1800,1.2331,6.6400,1.9507,,7.7330,,1.4981,0.3194,,3.3287,6.7727,1.4431,4.9010,4.8250,1.3035,3.3127,1.3700,4.4950,,,,,4.0160,,,,,,,,,,,,
Wed Sep 26 2007 00:00:00 GMT+0400 (Georgia Standard Time),1.1953,3.1370,2.3377,3.3399,2.6630,2.9908,3.0010,6.2050,,6.8990,0.9344,2.5440,1.4161,0.8500,1.6605,1.6536,1.4332,2.9780,,1.3500,1.4470,4.5240,1.7850,4.1130,1.1060,5.9308,2.2100,2.1360,4.1700,1.2216,6.6300,1.9501,,7.7300,,1.4944,0.3193,,3.3343,6.7892,1.4540,4.9080,4.8230,1.3023,3.3157,1.3690,4.5000,,,,,4.0051,,,,,,,,,,,,
Thu Sep 27 2007 00:00:00 GMT+0400 (Georgia Standard Time),1.1990,3.1450,2.3445,3.3467,2.6670,2.9928,3.0070,6.2130,,6.9430,0.9365,2.5450,1.4196,0.8530,1.6595,1.6503,1.4474,2.9740,,1.3571,1.4420,4.5200,1.7830,4.1200,1.1094,5.9334,2.2100,2.1370,4.1800,1.2299,6.6400,1.9491,,7.7260,,1.4988,0.3191,,3.3257,6.7627,1.4557,4.9160,4.8200,1.3015,3.2848,1.3680,4.5030,,,,,4.0162,,,,,,,,,,,,
Fri Sep 28 2007 00:00:00 GMT+0400 (Georgia Standard Time),1.1994,3.1470,2.3453,3.3535,2.6750,2.9878,3.0220,6.2120,,6.9450,0.9373,2.5390,1.4160,0.8510,1.6591,1.6555,1.4572,2.9720,,1.3627,1.4350,4.5180,1.7830,4.1230,1.1121,5.9319,2.2090,2.1380,4.1800,1.2440,6.6500,1.9489,,7.7240,,1.4994,0.3191,,3.3382,6.7890,1.4800,4.9250,4.8160,1.3012,3.2928,1.3680,4.5020,,,,,4.0191,,,,,,,,,,,,
Sat Sep 29 2007 00:00:00 GMT+0400 (Georgia Standard Time),1.2012,3.1510,2.3487,3.3556,2.6900,2.9713,3.0520,6.2210,,6.9730,0.9370,2.5530,1.4156,0.8530,1.6580,1.6585,1.4624,2.9710,,1.3663,1.4380,4.5160,1.7820,4.1320,1.1131,5.9310,2.2080,2.1370,4.1700,1.2521,6.6500,1.9478,,7.7190,,1.5018,0.3188,,3.3360,6.7979,1.4937,4.9260,4.8130,1.3004,3.2935,1.3710,4.5240,,,,,4.0252,,,,,,,,,,,,
Sun Sep 30 2007 00:00:00 GMT+0400 (Georgia Standard Time),1.2012,3.1510,2.3487,3.3556,2.6900,2.9713,3.0520,6.2210,,6.9730,0.9370,2.5530,1.4156,0.8530,1.6580,1.6585,1.4624,2.9710,,1.3663,1.4380,4.5160,1.7820,4.1320,1.1131,5.9310,2.2080,2.1370,4.1700,1.2521,6.6500,1.9478,,7.7190,,1.5018,0.3188,,3.3360,6.7979,1.4937,4.9260,4.8130,1.3004,3.2935,1.3710,4.5240,,,,,4.0252,,,,,,,,,,,,
Mon Oct 01 2007 00:00:00 GMT+0400 (Georgia Standard Time),1.2012,3.1510,2.3487,3.3556,2.6900,2.9713,3.0520,6.2210,,6.9730,0.9370,2.5530,1.4156,0.8530,1.6580,1.6585,1.4624,2.9710,,1.3663,1.4380,4.5160,1.7820,4.1320,1.1131,5.9310,2.2080,2.1370,4.1700,1.2521,6.6500,1.9478,,7.7190,,1.5018,0.3188,,3.3360,6.7979,1.4937,4.9260,4.8130,1.3004,3.2935,1.3710,4.5240,,,,,4.0252,,,,,,,,,,,,
Tue Oct 02 2007 00:00:00 GMT+0400 (Georgia Standard Time),1.2042,3.1590,2.3545,3.3875,2.6830,2.9881,3.0610,6.2530,,7.0390,0.9393,2.5620,1.4138,0.8560,1.6560,1.6677,1.4715,2.9690,,1.3760,1.4330,4.5090,1.7800,4.1490,1.1205,5.9280,2.2070,2.1330,4.1700,1.2632,6.6600,1.9459,,7.7090,,1.5053,0.3185,,3.3387,6.7955,1.4892,4.9320,4.8080,1.2988,3.2988,1.3690,4.5180,,,,,4.0351,,,,,,,,,,,,
