District;Station;Note;1;2;3;4;5;6;7;8;10;11;12;14;15;16;17;18;19;22;23;25;26;27;28;30;41
2;02.02.13;;10;3;38;1;140;44;0;59;7;0;1;5;0;1;0;0;5;1;1;0;9;73;4;0;513
2;02.02.14;;17;0;39;4;172;45;3;27;11;0;3;3;0;0;0;5;5;0;1;1;12;76;1;0;436
2;02.02.15;;7;0;37;0;146;45;1;59;17;0;1;3;0;0;0;3;5;1;1;2;6;83;2;0;467
2;02.02.16;;21;0;26;0;152;25;1;48;15;3;0;4;0;0;0;3;1;0;1;2;2;48;2;1;313
2;02.02.22;;15;0;14;3;101;27;8;48;8;1;0;4;0;0;0;0;1;0;0;3;2;45;0;1;348
2;02.02.49;;24;0;27;7;142;41;2;41;8;0;1;1;0;0;1;2;4;0;0;0;6;90;0;0;478
2;02.02.50;;0;0;26;0;157;34;1;52;15;1;1;1;0;1;2;0;4;0;0;1;6;81;1;0;566
2;02.02.51;;9;0;24;1;145;38;1;46;8;0;0;5;0;1;2;4;11;0;0;1;15;84;0;2;532
2;02.02.52;;10;0;10;0;138;47;3;33;6;0;3;2;1;0;0;3;8;1;0;1;5;68;1;1;426
2;02.02.66;;14;0;17;0;142;5;0;47;16;1;0;4;0;0;0;2;4;0;0;1;7;34;2;1;425
2;02.02.67;;12;0;15;1;118;6;0;37;21;0;0;2;0;0;1;0;3;0;1;0;10;31;0;0;367
2;02.02.68;;12;0;26;1;167;13;0;41;20;0;0;3;0;2;0;1;1;1;0;0;0;62;2;0;295
2;02.02.69;;8;0;8;0;197;6;3;26;8;0;0;1;0;0;0;0;2;1;0;0;5;47;2;0;315
2;02.02.70;;16;0;13;0;128;8;0;23;12;0;0;0;0;0;0;0;5;0;2;1;1;37;1;1;238
2;02.02.71;;15;2;23;1;136;17;0;21;13;0;1;2;0;0;0;0;2;1;0;1;7;46;1;0;398
2;02.02.75;;12;0;13;0;66;3;1;32;19;0;0;0;0;0;0;1;6;0;0;0;1;24;0;0;358
2;02.02.76;;20;0;27;0;117;39;1;43;14;1;4;4;0;0;0;3;0;0;3;1;5;61;0;0;410
3;03.02.17;;9;0;10;0;135;31;1;11;5;0;0;1;0;0;0;0;1;0;1;1;1;33;1;0;236
3;03.02.18;;14;1;25;0;133;44;4;28;15;0;0;0;0;0;1;2;5;0;1;0;18;33;1;0;386
3;03.02.19;;19;0;2;0;102;8;1;23;3;1;3;1;0;0;0;0;2;1;0;0;4;37;0;0;145
3;03.02.29;;24;2;36;1;205;31;0;56;14;0;1;3;0;0;0;0;6;1;0;1;6;66;1;2;447
